comp,games,avg_place,top4_rate,win_rate
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,27,1.3333333333333333,100.0,66.66666666666666
Blitzcrank+Jhin+Nami+Nasus+Ornn+Ornn+Samira+Samira+Shen,66,1.4848484848484849,96.96969696969697,65.15151515151516
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,44,1.5681818181818181,97.72727272727273,61.36363636363637
Bard+Blitzcrank+ElderDragon+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Sona+Summon+Vex,65,1.6153846153846154,100.0,63.07692307692307
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,36,1.6388888888888888,97.22222222222221,58.333333333333336
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Nunu+Rhaast+Shen+TahmKench+Xayah,20,1.65,100.0,45.0
Bard+IvernMinion+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Summon+Veigar+Viktor,30,1.6666666666666667,100.0,56.666666666666664
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+Rhaast+TahmKench+Xayah,74,1.6891891891891893,97.2972972972973,60.810810810810814
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Nunu+Sona+Summon+Vex,20,1.75,100.0,50.0
Aatrox+Akali+Blitzcrank+Fiora+Graves+Jhin+Nunu+Rhaast+Shen+Vex,56,1.75,98.21428571428571,55.35714285714286
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Rhaast+Shen+Vex,235,1.7829787234042553,94.8936170212766,59.148936170212764
Blitzcrank+Gwen+Nami+Nasus+Ornn+Ornn+Samira+Samira+Teemo,28,1.8214285714285714,96.42857142857143,53.57142857142857
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Shen+Sona+Vex,26,1.8846153846153846,96.15384615384616,46.15384615384615
