item,item_kr,icon_url,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
EmptyBag,EmptyBag,,2156,1.36,96.66,85.25,6.07,380.48,S
LionessLament,사자의 비탄,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_lionesslament_t3.tft_set17.tex,231,2.67,78.79,53.68,0.65,281.13,S
IceblastArmor,얼음작렬 갑옷,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_iceblastarmor_t2.tft_set17.tex,272,3.0,74.26,48.9,0.77,262.37,S
Annihilator,절멸자,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_annihilator_t2.tft_set17.tex,217,3.06,75.58,41.47,0.61,258.21,S
EchoingBatblades,베인의 크로마칼날,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_echoingbatblades_t3.tft_set17.tex,131,3.21,72.52,42.75,0.37,249.95,S
SearingShortbow,타오르는 단궁,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/tft14_animasquaditems/tooltipicons/tft14_icon_animasquad_firebow.tft_set14.tex,251,3.25,70.12,43.03,0.71,247.43,S
CyclonicSlicers,회오리 칼날,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_cyclonicslicers_t2.tft_set17.tex,168,3.31,68.45,42.86,0.47,243.79,S
ForceOfNature,신병,https://raw.communitydragon.org/latest/assets/maps/tft/icons/augments/hexcore/newrecruit3.tex,265,3.34,70.19,26.79,0.75,239.71,A
RadiantField,광휘 역장,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_radiantfield_t2.tft_set17.tex,247,3.4,69.64,32.39,0.7,237.65,A
WarmogsArmor,워모그의 갑옷,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_warmogsarmor.tft_set13.tex,24640,4.2,55.97,14.52,69.33,237.43,A
MadredsBloodrazor,거인 학살자,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_madredsbloodrazor.tft_set13.tex,16897,4.07,58.9,14.71,47.54,236.13,A
RabadonsDeathcap,라바돈의 죽음모자,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_rabadonsdeathcap.tft_set13.tex,10702,4.02,58.98,17.06,30.11,232.15,A
