comp,units,core_units,core_items,core_traits,main_carry,main_tank,games,avg_place,top4_rate,win_rate,stability_score
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Rhaast,Shen,Vex","Item_GuinsoosRageblade,Item_ThiefsGloves,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Quicksilver,Item_EmptyBag,Item_SteraksGage,Item_RapidFireCannon,Item_WarmogsArmor,Item_PowerGauntlet,Item_GuardianAngel,Item_AdaptiveHelm","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,GravesTrait:1,MeleeTrait:1,MorganaUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ShieldTank:1",Vex,Nunu,238,1.8,94.54,58.82,209.41
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_SpaceGrooveEmblemItem,Item_Leviathan,Item_SpearOfShojin,Item_StatikkShiv,Item_GargoyleStoneplate,Item_FrozenHeart,Item_RapidFireCannon,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_Morellonomicon","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:3,TahmKenchUniqueTrait:1,AssassinTrait:1,Timebreaker:1,Timebreaker:2",Nami,TahmKench,27,1.33,100.0,66.67,197.38
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,Rhaast,TahmKench,Xayah","Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,Rhaast,TahmKench,Xayah","Item_RunaansHurricane,Item_StargazerEmblemItem,Item_FrozenHeart,Item_WarmogsArmor,Item_RapidFireCannon,Item_InfinityEdge,Item_Deathblade,Item_AdaptiveHelm,Item_GargoyleStoneplate,Item_Crownguard,Item_Redemption,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,DRX:1,HPTank:1,JhinUniqueTrait:1,MorganaUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShieldTank:1,SpaceGroove:1,TahmKenchUniqueTrait:1,RangedTrait:1,Stargazer_Serpent:1",Xayah,TahmKench,74,1.69,97.3,60.81,194.48
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+PVE_ElderDragon+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona,Vex","Item_GuinsoosRageblade,Item_JeweledGauntlet,Item_WarmogsArmor,Item_StatikkShiv,Item_GargoyleStoneplate,Item_FrozenHeart,Item_RabadonsDeathcap,Item_MadredsBloodrazor,Item_Morellonomicon,Item_AdaptiveHelm,Item_ThiefsGloves,Item_SpearOfShojin","VexUniqueTrait:1,BlitzcrankUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,DarkStar:1,ManaTrait:1,ShieldTank:2,FlexTrait:1,PsyOps:1,Astronaut:1,DarkStar:2,FlexTrait:3",Nunu,Nunu,68,1.69,100.0,60.29,194.46
Blitzcrank+Jhin+Nami+Nasus+Ornn+Samira+Shen,"Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira,Shen","Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira,Shen","Item_GargoyleStoneplate,Item_WarmogsArmor,Item_SpearOfShojin,Item_LastWhisper,Item_Deathblade,Item_InfinityEdge,Item_Redemption,Item_MadredsBloodrazor,Item_Morellonomicon,Item_RapidFireCannon,Item_JeweledGauntlet,Item_BlueBuff","BlitzcrankUniqueTrait:1,JhinUniqueTrait:1,RangedTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:3,SpaceGroove:1,TFTEvent5YR_Honeymancy:1,TFTEvent5YR_Mascot:2",Samira,Ornn,75,1.65,94.67,61.33,194.45
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_SpearOfShojin,Item_Leviathan,Item_GargoyleStoneplate,Item_StatikkShiv,Item_Morellonomicon,Item_SpaceGrooveEmblemItem,Item_FrozenHeart,Item_RabadonsDeathcap,Item_Crownguard,Item_AdaptiveHelm","APTrait:1,BlitzcrankUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,AssassinTrait:1,HPTank:1,Timebreaker:1,SpaceGroove:3,SpaceGroove:4",Nami,Ornn,44,1.57,97.73,61.36,192.74
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_SpaceGrooveEmblemItem,Item_GargoyleStoneplate,Item_StatikkShiv,Item_SpearOfShojin,Item_Leviathan,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_Morellonomicon,Item_ThiefsGloves,Item_AdaptiveHelm","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ShenUniqueTrait:1,SpaceGroove:4,TahmKenchUniqueTrait:1,ShieldTank:1,ResistTank:1,AssassinTrait:1,Timebreaker:1,RangedTrait:1,Timebreaker:2",Nami,Ornn,37,1.65,97.3,56.76,188.52
Bard+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Veigar+Viktor,"Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar,Viktor","Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar,Viktor","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_StatikkShiv,Item_SpearOfShojin,Item_Morellonomicon,Item_Leviathan,Item_RabadonsDeathcap,Item_WarmogsArmor,Item_Crownguard,Item_AdaptiveHelm,Item_PowerGauntlet,Item_FrozenHeart","APTrait:1,Astronaut:2,DarkStar:1,ManaTrait:1,PsyOps:1,ResistTank:1,RhaastUniqueTrait:1,SonaUniqueTrait:1,FlexTrait:1,SpaceGroove:1,FlexTrait:2,TFTEvent5YR_Fated:1",Veigar,Rammus,30,1.67,100.0,56.67,188.17
Aatrox+Akali+Blitzcrank+Fiora+Graves+Jhin+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Nunu,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Nunu,Rhaast,Shen,Vex","Item_MadredsBloodrazor,Item_GuinsoosRageblade,Item_ThiefsGloves,Item_FrozenHeart,Item_SteraksGage,Item_Quicksilver,Item_AdaptiveHelm,Item_PowerGauntlet,Item_RapidFireCannon,Item_GuardianAngel,Item_WarmogsArmor,Item_Deathblade","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,GravesTrait:1,JhinUniqueTrait:1,MeleeTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:1,VexUniqueTrait:1",Graves,Nunu,58,1.81,98.28,53.45,187.84
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona,Vex","Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_MadredsBloodrazor,Item_JeweledGauntlet,Item_StatikkShiv,Item_FrozenHeart,Item_AdaptiveHelm,Item_WarmogsArmor,Item_SpearOfShojin,Item_ThiefsGloves,Item_RabadonsDeathcap,Item_Crownguard","BlitzcrankUniqueTrait:1,DarkStar:1,FlexTrait:1,ManaTrait:1,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ShieldTank:3,ShieldTank:2,Astronaut:1,ADMIN:1",Vex,Leona,20,1.75,100.0,50.0,183.0
