comp,units,core_units,core_items,core_traits,main_carry,main_tank,games,avg_place,top4_rate,win_rate,stability_score,units_kr,core_units_kr,core_items_kr,core_traits_kr,main_carry_kr,main_tank_kr
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Rhaast,Shen,Vex","Item_GuinsoosRageblade,Item_ThiefsGloves,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Quicksilver,Item_EmptyBag,Item_SteraksGage,Item_RapidFireCannon,Item_WarmogsArmor,Item_PowerGauntlet,Item_GuardianAngel,Item_AdaptiveHelm","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,GravesTrait:1,MeleeTrait:1,MorganaUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ShieldTank:1",Vex,Nunu,238,1.8,94.54,58.82,209.41,"아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,모르가나,누누와 윌럼프,라아스트,쉔,벡스","아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,모르가나,누누와 윌럼프,라아스트,쉔,벡스","구인수의 격노검,도적의 장갑,수호자의 맹세,거인 학살자,수은,EmptyBag,스테락의 도전,붉은 덩굴정령,워모그의 갑옷,타격대의 철퇴,밤의 끝자락,적응형 투구","파티광 1,N.O.V.A. 1,신성 결투가 1,최신상 1,습격자 1,어둠의 여인 1,요새 1,구원자 1,보루 1,우주 그루브 1,파멸자 1,선봉대 1",벡스,누누와 윌럼프
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_SpaceGrooveEmblemItem,Item_Leviathan,Item_SpearOfShojin,Item_StatikkShiv,Item_GargoyleStoneplate,Item_FrozenHeart,Item_RapidFireCannon,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_Morellonomicon","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:3,TahmKenchUniqueTrait:1,AssassinTrait:1,Timebreaker:1,Timebreaker:2",Nami,TahmKench,27,1.33,100.0,66.67,197.38,"블리츠크랭크,그웬,나미,누누와 윌럼프,오른,판테온,라아스트,리븐,쉔,탐 켄치","블리츠크랭크,그웬,나미,누누와 윌럼프,오른,판테온,라아스트,리븐,쉔,탐 켄치","보석 건틀릿,워모그의 갑옷,우주 그루브 상징,내셔의 이빨,쇼진의 창,공허의 지팡이,가고일 돌갑옷,수호자의 맹세,붉은 덩굴정령,적응형 투구,거인 학살자,모렐로노미콘","복제자 1,파티광 1,싸움꾼 1,요새 1,구원자 1,보루 1,선봉대 1,우주 그루브 3,예언자 1,불한당 1,시간 균열자 1,시간 균열자 2",나미,탐 켄치
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,Rhaast,TahmKench,Xayah","Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,Rhaast,TahmKench,Xayah","Item_RunaansHurricane,Item_StargazerEmblemItem,Item_FrozenHeart,Item_WarmogsArmor,Item_RapidFireCannon,Item_InfinityEdge,Item_Deathblade,Item_AdaptiveHelm,Item_GargoyleStoneplate,Item_Crownguard,Item_Redemption,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,DRX:1,HPTank:1,JhinUniqueTrait:1,MorganaUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShieldTank:1,SpaceGroove:1,TahmKenchUniqueTrait:1,RangedTrait:1,Stargazer_Serpent:1",Xayah,TahmKench,74,1.69,97.3,60.81,194.48,"아트록스,블리츠크랭크,잭스,진,마오카이,모르가나,누누와 윌럼프,라아스트,탐 켄치,자야","아트록스,블리츠크랭크,잭스,진,마오카이,모르가나,누누와 윌럼프,라아스트,탐 켄치,자야","크라켄의 분노,별돌보미 상징,수호자의 맹세,워모그의 갑옷,붉은 덩굴정령,무한의 대검,죽음의 검,적응형 투구,가고일 돌갑옷,크라운가드,정령의 형상,도적의 장갑","파티광 1,N.O.V.A. 1,싸움꾼 1,말살자 1,어둠의 여인 1,요새 1,구원자 1,선봉대 1,우주 그루브 1,예언자 1,저격수 1,별돌보미 1",자야,탐 켄치
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+PVE_ElderDragon+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona,Vex","Item_GuinsoosRageblade,Item_JeweledGauntlet,Item_WarmogsArmor,Item_StatikkShiv,Item_GargoyleStoneplate,Item_FrozenHeart,Item_RabadonsDeathcap,Item_MadredsBloodrazor,Item_Morellonomicon,Item_AdaptiveHelm,Item_ThiefsGloves,Item_SpearOfShojin","VexUniqueTrait:1,BlitzcrankUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,DarkStar:1,ManaTrait:1,ShieldTank:2,FlexTrait:1,PsyOps:1,Astronaut:1,DarkStar:2,FlexTrait:3",Nunu,Nunu,68,1.69,100.0,60.29,194.46,"바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,우주 장로 드래곤,소나,벡스","바드,블리츠크랭크,일라오이,카르마,모데카이저,누누와 윌럼프,우주 장로 드래곤,소나,벡스","구인수의 격노검,보석 건틀릿,워모그의 갑옷,공허의 지팡이,가고일 돌갑옷,수호자의 맹세,라바돈의 죽음모자,거인 학살자,모렐로노미콘,적응형 투구,도적의 장갑,쇼진의 창","파멸자 1,파티광 1,지휘관 1,우주 그루브 1,암흑의 별 1,전달자 1,선봉대 2,여행자 1,초능력 1,정령족 1,암흑의 별 2,여행자 3",누누와 윌럼프,누누와 윌럼프
Blitzcrank+Jhin+Nami+Nasus+Ornn+Samira+Shen,"Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira,Shen","Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira,Shen","Item_GargoyleStoneplate,Item_WarmogsArmor,Item_SpearOfShojin,Item_LastWhisper,Item_Deathblade,Item_InfinityEdge,Item_Redemption,Item_MadredsBloodrazor,Item_Morellonomicon,Item_RapidFireCannon,Item_JeweledGauntlet,Item_BlueBuff","BlitzcrankUniqueTrait:1,JhinUniqueTrait:1,RangedTrait:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:3,SpaceGroove:1,TFTEvent5YR_Honeymancy:1,TFTEvent5YR_Mascot:2",Samira,Ornn,75,1.65,94.67,61.33,194.45,"블리츠크랭크,진,나미,나서스,오른,사미라,쉔","블리츠크랭크,진,나미,나서스,오른,사미라,쉔","가고일 돌갑옷,워모그의 갑옷,쇼진의 창,최후의 속삭임,죽음의 검,무한의 대검,정령의 형상,거인 학살자,모렐로노미콘,붉은 덩굴정령,보석 건틀릿,푸른 파수꾼","파티광 1,말살자 1,저격수 1,요새 1,보루 1,선봉대 1,우주 그루브 3,우주 그루브 1,TFTEvent5YR_Honeymancy 1,TFTEvent5YR_Mascot 2",사미라,오른
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_SpearOfShojin,Item_Leviathan,Item_GargoyleStoneplate,Item_StatikkShiv,Item_Morellonomicon,Item_SpaceGrooveEmblemItem,Item_FrozenHeart,Item_RabadonsDeathcap,Item_Crownguard,Item_AdaptiveHelm","APTrait:1,BlitzcrankUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,AssassinTrait:1,HPTank:1,Timebreaker:1,SpaceGroove:3,SpaceGroove:4",Nami,Ornn,44,1.57,97.73,61.36,192.74,"블리츠크랭크,그웬,나미,나서스,오른,판테온,라아스트,리븐,쉔,탐 켄치","블리츠크랭크,그웬,나미,나서스,오른,판테온,라아스트,리븐,쉔,탐 켄치","보석 건틀릿,워모그의 갑옷,쇼진의 창,내셔의 이빨,가고일 돌갑옷,공허의 지팡이,모렐로노미콘,우주 그루브 상징,수호자의 맹세,라바돈의 죽음모자,크라운가드,적응형 투구","복제자 1,파티광 1,요새 1,구원자 1,보루 1,선봉대 1,예언자 1,불한당 1,싸움꾼 1,시간 균열자 1,우주 그루브 3,우주 그루브 4",나미,오른
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen,TahmKench","Item_JeweledGauntlet,Item_WarmogsArmor,Item_SpaceGrooveEmblemItem,Item_GargoyleStoneplate,Item_StatikkShiv,Item_SpearOfShojin,Item_Leviathan,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_Morellonomicon,Item_ThiefsGloves,Item_AdaptiveHelm","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ShenUniqueTrait:1,SpaceGroove:4,TahmKenchUniqueTrait:1,ShieldTank:1,ResistTank:1,AssassinTrait:1,Timebreaker:1,RangedTrait:1,Timebreaker:2",Nami,Ornn,37,1.65,97.3,56.76,188.52,"블리츠크랭크,그웬,나미,나서스,오른,판테온,리븐,사미라,쉔,탐 켄치","블리츠크랭크,그웬,나미,나서스,오른,판테온,리븐,사미라,쉔,탐 켄치","보석 건틀릿,워모그의 갑옷,우주 그루브 상징,가고일 돌갑옷,공허의 지팡이,쇼진의 창,내셔의 이빨,거인 학살자,타격대의 철퇴,모렐로노미콘,도적의 장갑,적응형 투구","복제자 1,파티광 1,싸움꾼 1,보루 1,우주 그루브 4,예언자 1,선봉대 1,요새 1,불한당 1,시간 균열자 1,저격수 1,시간 균열자 2",나미,오른
Bard+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Veigar+Viktor,"Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar,Viktor","Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar,Viktor","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_StatikkShiv,Item_SpearOfShojin,Item_Morellonomicon,Item_Leviathan,Item_RabadonsDeathcap,Item_WarmogsArmor,Item_Crownguard,Item_AdaptiveHelm,Item_PowerGauntlet,Item_FrozenHeart","APTrait:1,Astronaut:2,DarkStar:1,ManaTrait:1,PsyOps:1,ResistTank:1,RhaastUniqueTrait:1,SonaUniqueTrait:1,FlexTrait:1,SpaceGroove:1,FlexTrait:2,TFTEvent5YR_Fated:1",Veigar,Rammus,30,1.67,100.0,56.67,188.17,"바드,카르마,리산드라,뽀삐,람머스,라아스트,소나,베이가,빅토르","바드,카르마,리산드라,뽀삐,람머스,라아스트,소나,베이가,빅토르","보석 건틀릿,가고일 돌갑옷,공허의 지팡이,쇼진의 창,모렐로노미콘,내셔의 이빨,라바돈의 죽음모자,워모그의 갑옷,크라운가드,적응형 투구,타격대의 철퇴,수호자의 맹세","복제자 1,정령족 2,암흑의 별 1,전달자 1,초능력 1,요새 1,구원자 1,지휘관 1,여행자 1,우주 그루브 1,여행자 2,TFTEvent5YR_Fated 1",베이가,람머스
Aatrox+Akali+Blitzcrank+Fiora+Graves+Jhin+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Nunu,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Nunu,Rhaast,Shen,Vex","Item_MadredsBloodrazor,Item_GuinsoosRageblade,Item_ThiefsGloves,Item_FrozenHeart,Item_SteraksGage,Item_Quicksilver,Item_AdaptiveHelm,Item_PowerGauntlet,Item_RapidFireCannon,Item_GuardianAngel,Item_WarmogsArmor,Item_Deathblade","BlitzcrankUniqueTrait:1,DRX:1,FioraUniqueTrait:1,GravesTrait:1,JhinUniqueTrait:1,MeleeTrait:1,ResistTank:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:1,VexUniqueTrait:1",Graves,Nunu,58,1.81,98.28,53.45,187.84,"아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,진,누누와 윌럼프,라아스트,쉔,벡스","아트록스,아칼리,블리츠크랭크,피오라,그레이브즈,진,누누와 윌럼프,라아스트,쉔,벡스","거인 학살자,구인수의 격노검,도적의 장갑,수호자의 맹세,스테락의 도전,수은,적응형 투구,타격대의 철퇴,붉은 덩굴정령,밤의 끝자락,워모그의 갑옷,죽음의 검","파티광 1,N.O.V.A. 1,신성 결투가 1,최신상 1,말살자 1,습격자 1,요새 1,구원자 1,보루 1,선봉대 1,우주 그루브 1,파멸자 1",그레이브즈,누누와 윌럼프
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona,Vex","Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona,Vex","Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_MadredsBloodrazor,Item_JeweledGauntlet,Item_StatikkShiv,Item_FrozenHeart,Item_AdaptiveHelm,Item_WarmogsArmor,Item_SpearOfShojin,Item_ThiefsGloves,Item_RabadonsDeathcap,Item_Crownguard","BlitzcrankUniqueTrait:1,DarkStar:1,FlexTrait:1,ManaTrait:1,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,ShieldTank:3,ShieldTank:2,Astronaut:1,ADMIN:1",Vex,Leona,20,1.75,100.0,50.0,183.0,"바드,블리츠크랭크,일라오이,카르마,레오나,모데카이저,누누와 윌럼프,소나,벡스","바드,블리츠크랭크,일라오이,카르마,레오나,모데카이저,누누와 윌럼프,소나,벡스","가고일 돌갑옷,구인수의 격노검,거인 학살자,보석 건틀릿,공허의 지팡이,수호자의 맹세,적응형 투구,워모그의 갑옷,쇼진의 창,도적의 장갑,라바돈의 죽음모자,크라운가드","파티광 1,암흑의 별 1,여행자 1,전달자 1,지휘관 1,우주 그루브 1,파멸자 1,선봉대 3,선봉대 2,정령족 1,중재자 1",벡스,레오나
