comp,units,games,avg_place,top4_rate,win_rate,stability_score,estimated_level,estimated_gold,play_style,economy_type
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Rhaast,Shen,Vex",238,1.8,94.54,58.82,209.41,8.5,45,Fast8,Greedy
Blitzcrank+Gwen+Nami+Nunu+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nunu,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench",27,1.33,100.0,66.67,197.38,8.5,45,Fast8,Greedy
Aatrox+Blitzcrank+Jax+Jhin+Maokai+Morgana+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Blitzcrank,Jax,Jhin,Maokai,Morgana,Nunu,Rhaast,TahmKench,Xayah",74,1.69,97.3,60.81,194.48,8.5,45,Fast8,Greedy
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+PVE_ElderDragon+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,PVE_ElderDragon,Sona,Vex",68,1.69,100.0,60.29,194.46,8.5,45,Fast8,Greedy
Blitzcrank+Jhin+Nami+Nasus+Ornn+Samira+Shen,"Blitzcrank,Jhin,Nami,Nasus,Ornn,Samira,Shen",75,1.65,94.67,61.33,194.45,8.5,45,Fast8,Greedy
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,Shen,TahmKench",44,1.57,97.73,61.36,192.74,8.5,45,Fast8,Greedy
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Riven+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Riven,Samira,Shen,TahmKench",37,1.65,97.3,56.76,188.52,8.5,45,Fast8,Greedy
Bard+Karma+Lissandra+Poppy+Rammus+Rhaast+Sona+Veigar+Viktor,"Bard,Karma,Lissandra,Poppy,Rammus,Rhaast,Sona,Veigar,Viktor",30,1.67,100.0,56.67,188.17,8.5,45,Fast8,Greedy
Aatrox+Akali+Blitzcrank+Fiora+Graves+Jhin+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Jhin,Nunu,Rhaast,Shen,Vex",58,1.81,98.28,53.45,187.84,8.5,45,Fast8,Greedy
Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Nunu+Sona+Vex,"Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Nunu,Sona,Vex",20,1.75,100.0,50.0,183.0,8.5,45,Fast8,Greedy
