trait,games,avg_place,top4_rate,win_rate
Astronaut:10,110,1.68,95.45,70.91
Mountain:8,196,2.55,89.8,35.71
Heavyweight:2,23,3.3,73.91,26.09
ASTrait:5,135,3.35,76.3,11.11
RangedTrait:4,135,3.41,77.04,20.0
ManaTrait:4,99,3.43,72.73,21.21
SonaUniqueTrait:2,25,3.48,92.0,8.0
FlexTrait:6,36,3.5,66.67,8.33
Mountain:7,361,3.52,69.81,21.05
MeleeTrait:6,289,3.52,70.24,15.22
ShieldTank:8,22,3.55,90.91,4.55
Storyweaver:2,42,3.57,69.05,21.43
BlitzcrankUniqueTrait:2,53,3.58,88.68,5.66
RhaastUniqueTrait:2,44,3.59,90.91,0.0
SpaceGroove:7,1028,3.61,66.25,21.98
TahmKenchUniqueTrait:2,38,3.63,84.21,7.89
JhinUniqueTrait:1,6071,3.75,64.19,20.49
YordleLord:1,50,3.76,68.0,18.0
ManaTrait:3,1328,3.78,63.18,21.16
ShenUniqueTrait:1,6655,3.8,62.9,21.43
Mecha:6,513,3.81,61.99,30.8
RhaastUniqueTrait:1,8983,3.83,63.0,18.37
SummonTrait:7,413,3.84,64.16,12.83
VexUniqueTrait:2,22,3.86,81.82,9.09
ASTrait:4,442,3.88,65.38,10.41
AssassinTrait:4,64,3.88,68.75,12.5
RangedTrait:3,604,3.9,60.93,19.87
ShenUniqueTrait:2,31,3.9,83.87,3.23
BlitzcrankUniqueTrait:1,12361,3.91,60.77,19.17
Wolf:5,23,3.91,56.52,17.39
Fated:1,38,3.92,52.63,18.42
HPTank:8,20,3.95,80.0,5.0
DarkStar:6,2137,3.97,60.93,15.77
SonaUniqueTrait:1,6854,3.97,60.36,15.66
ResistTank:6,33,4.0,66.67,15.15
HPTank:6,718,4.0,60.31,16.3
Mountain:1,61,4.03,62.3,14.75
FlexTrait:4,359,4.03,60.72,14.76
Glacial:1,39,4.03,56.41,20.51
Fateweaver:4,216,4.03,60.19,8.8
MorganaUniqueTrait:1,8059,4.04,58.73,17.53
FioraUniqueTrait:1,5358,4.06,57.93,20.21
Maestro:1,27,4.07,62.96,25.93
Honeymancy:1,45,4.09,62.22,20.0
Captain:1,39,4.1,56.41,20.51
VexUniqueTrait:1,4324,4.1,56.43,20.7
Empress:2,76,4.12,57.89,10.53
Prodigy:2,22,4.14,63.64,18.18
MechPilot:2,22,4.14,59.09,4.55
FlexTrait:3,2271,4.15,56.67,14.93
TheCrew:1,26,4.15,61.54,7.69
ShieldTank:5,145,4.17,53.79,14.48
Nitro:1,29,4.17,55.17,6.9
ZedUniqueTrait:1,156,4.17,57.05,16.67
ElTigre:1,61,4.18,52.46,16.39
SpaceGroove:1,11243,4.18,55.47,16.35
Mecha:4,1076,4.18,56.78,19.05
ResistTank:4,674,4.19,57.72,12.02
Demacia:2,47,4.19,61.7,14.89
Heroic:1,42,4.19,61.9,14.29
FioraUniqueTrait:2,32,4.19,78.12,9.38
ManaTrait:2,6679,4.2,55.14,15.41
DragonFist:1,55,4.2,50.91,12.73
Huntress:5,25,4.2,44.0,20.0
ShieldTank:6,313,4.21,57.19,12.14
DarkStar:2,10460,4.21,55.3,14.89
ShieldTank:2,11835,4.22,54.71,16.9
Edgelord:2,30,4.23,50.0,10.0
RangedTrait:2,4345,4.23,54.25,17.1
FlexTrait:5,121,4.24,52.07,12.4
MeleeTrait:2,6160,4.24,54.46,16.61
ShieldTank:4,4789,4.24,54.52,13.49
GravesTrait:1,4273,4.29,52.98,20.59
DRX:5,1132,4.29,55.92,10.87
Ixtal:2,94,4.29,48.94,26.6
PsyOps:2,4023,4.3,54.93,11.81
HighRoller:2,53,4.3,52.83,7.55
SummonTrait:3,6640,4.3,53.16,13.6
Rosemother:1,47,4.3,51.06,23.4
FlexTrait:2,10386,4.31,53.54,13.66
Bilgewater:2,45,4.31,53.33,13.33
SummonTrait:6,69,4.32,60.87,5.8
PsyOps:4,575,4.32,53.74,8.87
Duelist:2,27,4.33,51.85,3.7
OldMentor:1,80,4.34,52.5,11.25
HighRoller:1,63,4.35,50.79,15.87
ResistTank:2,14397,4.36,51.98,14.88
Protector:2,43,4.37,58.14,13.95
DRX:6,27,4.37,59.26,7.41
ASTrait:3,1533,4.38,53.16,7.89
Serpent:5,55,4.38,50.91,20.0
ResistTank:3,482,4.39,51.87,16.6
Timebreaker:4,547,4.41,53.38,14.26
Rebel:1,27,4.41,48.15,18.52
Yordle:2,64,4.41,53.12,14.06
DRX:3,2853,4.42,52.23,9.6
Preserver:2,30,4.43,46.67,16.67
Conqueror:1,58,4.43,53.45,5.17
Bilgewater:1,44,4.43,52.27,11.36
Empress:1,25,4.44,56.0,12.0
AssassinTrait:3,626,4.46,50.8,9.58
APTrait:4,129,4.47,57.36,10.85
HPTank:2,12693,4.47,50.46,12.73
Primordian:3,1610,4.48,51.49,7.76
Astronaut:5,2838,4.48,49.96,9.8
TahmKenchUniqueTrait:1,10394,4.48,50.29,14.08
Maestro:2,39,4.49,46.15,10.26
AssassinTrait:2,4585,4.51,49.77,11.1
Wolf:3,390,4.51,48.72,13.85
SpaceGroove:5,3140,4.52,49.08,13.22
Primordian:2,857,4.53,50.99,6.77
DRX:2,8548,4.53,49.04,13.21
TheCrew:2,30,4.53,50.0,6.67
MeleeTrait:4,2098,4.53,50.57,8.91
Timebreaker:2,5622,4.54,49.02,10.74
Strategist:2,24,4.54,41.67,16.67
APTrait:2,8269,4.54,48.76,12.23
Hacker:2,22,4.55,45.45,13.64
Mascot:1,44,4.57,50.0,13.64
HPTank:4,2736,4.58,49.16,9.58
Wolf:4,89,4.61,49.44,12.36
Fated:2,23,4.61,39.13,13.04
Serpent:3,721,4.62,46.74,11.93
Pentakill:1,60,4.62,50.0,11.67
SpaceGroove:6,140,4.62,42.14,12.14
Primordian:4,62,4.63,53.23,4.84
Pyro:1,46,4.63,50.0,10.87
Medallion:3,660,4.64,45.91,12.27
MissFortuneUniqueTrait:1,994,4.64,48.39,7.14
SpaceGroove:2,839,4.64,49.34,7.99
Sniper:2,20,4.65,50.0,15.0
Astronaut:8,25,4.68,44.0,12.0
Crystal:1,26,4.69,42.31,3.85
SummonTrait:5,1291,4.69,46.09,7.05
Shimmerscale:2,42,4.69,47.62,9.52
Phantom:1,43,4.7,39.53,18.6
Mountain:2,23,4.7,43.48,4.35
Astronaut:3,584,4.74,45.38,8.56
Huntress:3,302,4.74,44.04,8.28
Fateweaver:2,3203,4.74,45.55,7.46
Shield:3,556,4.75,44.42,10.25
Fountain:3,444,4.75,44.14,7.66
Nitro:2,38,4.76,42.11,7.89
Conqueror:2,74,4.77,45.95,8.11
Fountain:5,40,4.78,42.5,5.0
Overlord:1,37,4.78,43.24,13.51
Coven:2,34,4.79,44.12,5.88
Timebreaker:3,441,4.8,43.31,11.34
Spellslinger:2,41,4.8,36.59,9.76
ASTrait:2,3596,4.8,44.99,7.37
Yordle:1,44,4.82,43.18,6.82
Juggernaut:2,34,4.82,35.29,11.76
Shimmerscale:1,85,4.82,47.06,12.94
ADMIN:2,1737,4.85,43.75,6.22
Bastion:2,57,4.86,49.12,7.02
DarkStar:3,487,4.88,39.84,9.65
ShieldTank:3,626,4.88,43.13,10.54
MeleeTrait:5,97,4.89,42.27,5.15
Demacia:1,42,4.9,38.1,7.14
SummonTrait:4,208,4.94,41.35,8.17
