trait,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
Astronaut:10,110,1.68,95.45,70.91,0.31,338.94,S
Mountain:8,196,2.55,89.8,35.71,0.55,286.8,S
SpaceGroove:7,1028,3.61,66.25,21.98,2.89,244.93,S
BlitzcrankUniqueTrait:1,12361,3.91,60.77,19.17,34.78,240.48,S
Mountain:7,361,3.52,69.81,21.05,1.02,239.56,S
ASTrait:5,135,3.35,76.3,11.11,0.38,237.76,S
RangedTrait:4,135,3.41,77.04,20.0,0.38,236.76,A
ManaTrait:3,1328,3.78,63.18,21.16,3.74,235.68,A
Mecha:6,513,3.81,61.99,30.8,1.44,234.83,A
SonaUniqueTrait:1,6854,3.97,60.36,15.66,19.29,230.46,A
MeleeTrait:6,289,3.52,70.24,15.22,0.81,228.44,A
MorganaUniqueTrait:1,8059,4.04,58.73,17.53,22.68,228.2,A
RangedTrait:3,604,3.9,60.93,19.87,1.7,227.93,A
DarkStar:6,2137,3.97,60.93,15.77,6.01,225.34,A
FioraUniqueTrait:1,5358,4.06,57.93,20.21,15.08,224.45,A
SpaceGroove:1,11243,4.18,55.47,16.35,31.64,223.57,A
HPTank:6,718,4.0,60.31,16.3,2.02,222.16,A
ShieldTank:2,11835,4.22,54.71,16.9,33.3,222.11,A
VexUniqueTrait:1,4324,4.1,56.43,20.7,12.17,220.94,A
DarkStar:2,10460,4.21,55.3,14.89,29.43,220.84,A
ASTrait:4,442,3.88,65.38,10.41,1.24,218.19,A
ManaTrait:2,6679,4.2,55.14,15.41,18.79,217.14,A
ResistTank:2,14397,4.36,51.98,14.88,40.51,216.77,A
FlexTrait:3,2271,4.15,56.67,14.93,6.39,215.04,A
FlexTrait:2,10386,4.31,53.54,13.66,29.22,214.98,B
ManaTrait:4,99,3.43,72.73,21.21,0.28,214.67,B
MeleeTrait:2,6160,4.24,54.46,16.61,17.33,214.59,B
RangedTrait:2,4345,4.23,54.25,17.1,12.23,213.09,B
Mecha:4,1076,4.18,56.78,19.05,3.03,213.06,B
ShieldTank:4,4789,4.24,54.52,13.49,13.48,212.45,B
SummonTrait:3,6640,4.3,53.16,13.6,18.68,211.14,B
ResistTank:4,674,4.19,57.72,12.02,1.9,210.98,B
GravesTrait:1,4273,4.29,52.98,20.59,12.02,210.32,B
FlexTrait:4,359,4.03,60.72,14.76,1.01,210.07,B
BlitzcrankUniqueTrait:2,53,3.58,88.68,5.66,0.15,208.8,B
HPTank:2,12693,4.47,50.46,12.73,35.72,208.47,B
PsyOps:2,4023,4.3,54.93,11.81,11.32,208.37,B
DRX:5,1132,4.29,55.92,10.87,3.19,205.73,B
TahmKenchUniqueTrait:1,10394,4.48,50.29,14.08,29.25,205.6,B
PsyOps:4,575,4.32,53.74,8.87,1.62,202.54,B
DRX:2,8548,4.53,49.04,13.21,24.05,200.47,B
