unit,games,avg_place,top4_rate,win_rate
bardfollower,404,1.51,96.04,77.23
ElderDragon,574,2.1,96.52,40.59
Brock,78,3.12,66.67,44.87
KSante,40,3.23,75.0,20.0
Varus,38,3.39,78.95,21.05
Seraphine,44,3.5,72.73,18.18
Yone,38,3.71,57.89,21.05
Jhin,6241,3.73,64.73,20.11
Shen,6814,3.79,63.24,21.1
Bard,7370,3.81,63.04,19.15
Senna,28,3.82,53.57,14.29
Rhaast,9094,3.83,63.23,18.14
Zyra,56,3.86,60.71,26.79
Blitzcrank,12705,3.89,61.28,19.16
Braum,74,3.91,56.76,20.27
Sona,6995,3.95,60.86,15.55
Neeko,29,3.97,62.07,13.79
Morgana,8189,4.04,58.87,17.4
Fiora,5581,4.06,58.43,19.92
Vex,4448,4.09,56.97,20.46
Zed,165,4.13,58.18,17.58
SummonLevel2,29,4.17,55.17,6.9
Kayle,74,4.18,58.11,13.51
leesin,60,4.18,51.67,11.67
Karma,11452,4.19,55.98,14.92
Graves,4385,4.28,53.41,20.39
Gangplank,25,4.28,44.0,12.0
Galio,6295,4.3,54.09,14.5
Viktor,1001,4.31,53.45,12.79
Nami,5150,4.34,52.95,14.25
Summon,8680,4.34,52.62,12.35
Udyr,47,4.36,55.32,10.64
Kindred,5111,4.37,54.35,8.67
Nunu,11538,4.37,51.82,15.14
JarvanIV,59,4.37,49.15,15.25
Ornn,6402,4.38,51.52,14.9
Mordekaiser,11237,4.39,51.94,13.53
Pyke,1646,4.39,52.25,10.63
AurelionSol,3625,4.42,51.42,16.0
Samira,4288,4.44,50.07,15.65
Akali,6603,4.44,51.43,13.1
Gwen,4121,4.45,50.55,12.91
Xayah,3020,4.47,50.13,14.8
TahmKench,10546,4.47,50.57,14.01
Urgot,4432,4.48,50.77,12.97
IvernMinion,11713,4.48,50.17,11.24
Riven,4880,4.49,50.55,11.31
Chogath,3641,4.5,50.43,12.88
Nasus,3977,4.51,48.73,13.58
MasterYi,2937,4.52,50.83,8.78
RekSai,2575,4.53,50.95,7.88
Aatrox,8741,4.54,49.06,13.66
Kaisa,2473,4.54,49.78,11.73
Rell,25,4.56,52.0,12.0
Gragas,3365,4.57,49.51,9.06
Maokai,10878,4.57,49.17,10.42
Illaoi,8466,4.57,48.44,10.58
Pantheon,7222,4.58,48.59,11.8
Belveth,5255,4.58,49.72,7.65
Rammus,5606,4.59,48.07,11.02
Veigar,2241,4.61,46.5,14.77
Teemo,1597,4.61,47.59,10.58
Jax,4551,4.64,46.78,11.45
Lissandra,6533,4.64,47.16,10.67
Volibear,22,4.64,45.45,9.09
Ryze,37,4.65,45.95,8.11
MissFortune,1003,4.65,48.26,7.08
Talon,633,4.68,46.6,8.21
Leona,2973,4.69,46.59,8.71
Syndra,44,4.7,50.0,13.64
Ezreal,1258,4.7,46.74,13.35
Caitlyn,1183,4.71,47.42,7.35
Poppy,4253,4.71,45.61,10.72
Corki,3128,4.72,45.4,9.37
Lulu,1719,4.74,45.32,9.19
Milio,3570,4.74,45.6,7.84
TwistedFate,1854,4.74,45.36,8.36
Ziggs,28,4.75,46.43,14.29
SummonLevel4,38,4.76,42.11,7.89
Jinx,2554,4.76,47.42,7.28
Gnar,1598,4.76,44.62,11.76
Leblanc,3097,4.78,44.66,6.91
Sivir,20,4.8,50.0,5.0
Zoe,666,4.82,43.39,9.01
Ashe,38,4.84,39.47,15.79
Malphite,22,4.86,45.45,9.09
Diana,822,4.91,43.92,5.47
Briar,1807,4.92,44.05,6.42
Sett,44,4.95,36.36,2.27
Fizz,2481,4.95,41.03,8.75
Swain,42,5.0,42.86,11.9
Janna,41,5.02,41.46,12.2
Viego,34,5.06,35.29,2.94
Vi,32,5.09,37.5,9.38
Naafiri,31,5.26,35.48,0.0
Aurora,633,5.71,29.38,7.74
XinZhao,25,5.72,24.0,0.0
Lux,23,5.74,26.09,0.0
Kalista,20,6.15,20.0,0.0
