unit,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
Jhin,6241,3.73,64.73,20.11,17.56,243.96,S
Blitzcrank,12705,3.89,61.28,19.16,35.75,242.02,S
Shen,6814,3.79,63.24,21.1,19.17,241.36,S
Rhaast,9094,3.83,63.23,18.14,25.59,241.33,S
Bard,7370,3.81,63.04,19.15,20.74,240.54,A
Sona,6995,3.95,60.86,15.55,19.68,231.74,A
Morgana,8189,4.04,58.87,17.4,23.04,228.36,A
Fiora,5581,4.06,58.43,19.92,15.7,224.79,A
Karma,11452,4.19,55.98,14.92,32.22,223.17,A
Vex,4448,4.09,56.97,20.46,12.52,221.69,A
Nunu,11538,4.37,51.82,15.14,32.47,213.06,A
Mordekaiser,11237,4.39,51.94,13.53,31.62,211.44,A
Galio,6295,4.3,54.09,14.5,17.71,211.21,A
Graves,4385,4.28,53.41,20.39,12.34,211.04,B
Nami,5150,4.34,52.95,14.25,14.49,207.53,B
Ornn,6402,4.38,51.52,14.9,18.01,206.64,B
TahmKench,10546,4.47,50.57,14.01,29.67,206.34,B
Kindred,5111,4.37,54.35,8.67,14.38,205.29,B
Viktor,1001,4.31,53.45,12.79,2.82,204.22,B
Akali,6603,4.44,51.43,13.1,18.58,203.48,B
AurelionSol,3625,4.42,51.42,16.0,10.2,201.71,B
Samira,4288,4.44,50.07,15.65,12.07,200.98,B
Maokai,10878,4.57,49.17,10.42,30.61,200.58,B
Aatrox,8741,4.54,49.06,13.66,24.6,200.29,B
Pyke,1646,4.39,52.25,10.63,4.63,200.15,B
Gwen,4121,4.45,50.55,12.91,11.6,199.89,B
Urgot,4432,4.48,50.77,12.97,12.47,198.81,B
Riven,4880,4.49,50.55,11.31,13.73,198.42,B
Xayah,3020,4.47,50.13,14.8,8.5,197.9,B
Illaoi,8466,4.57,48.44,10.58,23.82,197.68,B
Chogath,3641,4.5,50.43,12.88,10.25,196.8,B
Nasus,3977,4.51,48.73,13.58,11.19,196.31,C
Pantheon,7222,4.58,48.59,11.8,20.32,196.06,C
Zed,165,4.13,58.18,17.58,0.46,194.65,C
MasterYi,2937,4.52,50.83,8.78,8.26,194.31,C
Rammus,5606,4.59,48.07,11.02,15.77,193.43,C
Belveth,5255,4.58,49.72,7.65,14.79,193.36,C
RekSai,2575,4.53,50.95,7.88,7.25,193.26,C
Kaisa,2473,4.54,49.78,11.73,6.96,193.06,C
Gragas,3365,4.57,49.51,9.06,9.47,191.95,C
Lissandra,6533,4.64,47.16,10.67,18.38,191.63,C
Jax,4551,4.64,46.78,11.45,12.81,189.45,C
Veigar,2241,4.61,46.5,14.77,6.31,188.93,C
Teemo,1597,4.61,47.59,10.58,4.49,187.69,C
Poppy,4253,4.71,45.61,10.72,11.97,185.12,C
Leona,2973,4.69,46.59,8.71,8.37,184.57,C
MissFortune,1003,4.65,48.26,7.08,2.82,184.52,C
Ezreal,1258,4.7,46.74,13.35,3.54,183.11,C
Corki,3128,4.72,45.4,9.37,8.8,183.01,C
Talon,633,4.68,46.6,8.21,1.78,182.33,C
Milio,3570,4.74,45.6,7.84,10.05,182.27,D
Caitlyn,1183,4.71,47.42,7.35,3.33,181.53,D
Jinx,2554,4.76,47.42,7.28,7.19,180.56,D
Lulu,1719,4.74,45.32,9.19,4.84,180.37,D
TwistedFate,1854,4.74,45.36,8.36,5.22,180.37,D
Gnar,1598,4.76,44.62,11.76,4.5,179.54,D
Leblanc,3097,4.78,44.66,6.91,8.71,179.26,D
Zoe,666,4.82,43.39,9.01,1.87,174.57,D
Briar,1807,4.92,44.05,6.42,5.08,170.53,D
Diana,822,4.91,43.92,5.47,2.31,169.69,D
Fizz,2481,4.95,41.03,8.75,6.98,169.35,D
Aurora,633,5.71,29.38,7.74,1.78,125.57,D
