unit,unit_kr,icon_url,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
Jhin,진,https://raw.communitydragon.org/latest/assets/characters/tft17_jhin/skins/base/images/tft17_jhin_splash_centered_37.tft_set17.tex,6241,3.73,64.73,20.11,17.56,243.96,S
Blitzcrank,블리츠크랭크,https://raw.communitydragon.org/latest/assets/characters/tft17_blitzcrank/skins/base/images/tft17_blitzcrank_splash_uncentered_65.tft_set17.tex,12705,3.89,61.28,19.16,35.75,242.02,S
Shen,쉔,https://raw.communitydragon.org/latest/assets/characters/tft17_shen/skins/base/images/tft17_shen_splash_centered_49.tft_set17.tex,6814,3.79,63.24,21.1,19.17,241.36,S
Rhaast,라아스트,https://raw.communitydragon.org/latest/assets/characters/tft17_rhaast/skins/base/images/tft17_kaynsplash_uncentered.tft_set17.tex,9094,3.83,63.23,18.14,25.59,241.33,S
Bard,바드,https://raw.communitydragon.org/latest/assets/characters/tft17_bard/skins/base/images/tft17_bard_splash_centered_8.tft_set17.tex,7370,3.81,63.04,19.15,20.74,240.54,A
Sona,소나,https://raw.communitydragon.org/latest/assets/characters/tft17_sona/skins/base/images/tft17_sona_splash_centered_17.tft_set17.tex,6995,3.95,60.86,15.55,19.68,231.74,A
Morgana,모르가나,https://raw.communitydragon.org/latest/assets/characters/tft17_morgana/skins/base/images/tft17_morgana_splash_centered_50.tft_set17.tex,8189,4.04,58.87,17.4,23.04,228.36,A
Fiora,피오라,https://raw.communitydragon.org/latest/assets/characters/tft17_fiora/skins/base/images/tft17_fiora_splash_centered_51.tft_set17.tex,5581,4.06,58.43,19.92,15.7,224.79,A
Karma,카르마,https://raw.communitydragon.org/latest/assets/characters/tft17_karma/skins/base/images/tft17_karma_splash_centered_8.tft_set17.tex,11452,4.19,55.98,14.92,32.22,223.17,A
Vex,벡스,https://raw.communitydragon.org/latest/assets/characters/tft17_vex/skins/base/images/tft17_vex_splash_centered_10.tft_set17.tex,4448,4.09,56.97,20.46,12.52,221.69,A
Nunu,누누와 윌럼프,https://raw.communitydragon.org/latest/assets/characters/tft17_nunu/skins/base/images/tft17_nunu_splash_centered_35.tft_set17.tex,11538,4.37,51.82,15.14,32.47,213.06,A
Mordekaiser,모데카이저,https://raw.communitydragon.org/latest/assets/characters/tft17_mordekaiser/skins/base/images/tft17_mordekaiser_splash_centered_6.tft_set17.tex,11237,4.39,51.94,13.53,31.62,211.44,A
Galio,거대 메크 로봇,https://raw.communitydragon.org/latest/assets/characters/tft17_galio/skins/base/images/tft17_galio.tft_set17.tex,6295,4.3,54.09,14.5,17.71,211.21,A
Graves,그레이브즈,https://raw.communitydragon.org/latest/assets/characters/tft17_graves/skins/base/images/tft17_graves_splash_centered_18.tft_set17.tex,4385,4.28,53.41,20.39,12.34,211.04,B
Nami,나미,https://raw.communitydragon.org/latest/assets/characters/tft17_nami/skins/base/images/tft17_nami_splash_centered_41.tft_set17.tex,5150,4.34,52.95,14.25,14.49,207.53,B
Ornn,오른,https://raw.communitydragon.org/latest/assets/characters/tft17_ornn/skins/base/images/tft17_ornn_splash_centered_11.tft_set17.tex,6402,4.38,51.52,14.9,18.01,206.64,B
TahmKench,탐 켄치,https://raw.communitydragon.org/latest/assets/characters/tft17_tahmkench/skins/base/images/tft17_tahmkench_splash_centered_11.tft_set17.tex,10546,4.47,50.57,14.01,29.67,206.34,B
Kindred,킨드레드,https://raw.communitydragon.org/latest/assets/characters/tft17_kindred/skins/base/images/tft17_kindred_splash_centered_23.tft_set17.tex,5111,4.37,54.35,8.67,14.38,205.29,B
Viktor,빅토르,https://raw.communitydragon.org/latest/assets/characters/tft17_viktor/skins/base/images/tft17_viktor_splash_centered_5.tft_set17.tex,1001,4.31,53.45,12.79,2.82,204.22,B
Akali,아칼리,https://raw.communitydragon.org/latest/assets/characters/tft17_akali/skins/base/images/tft17_akali_splash_centered_68.tft_set17.tex,6603,4.44,51.43,13.1,18.58,203.48,B
AurelionSol,아우렐리온 솔,https://raw.communitydragon.org/latest/assets/characters/tft17_aurelionsol/skins/base/images/tft17_aurelionsol_splash_centered_2.tft_set17.tex,3625,4.42,51.42,16.0,10.2,201.71,B
Samira,사미라,https://raw.communitydragon.org/latest/assets/characters/tft17_samira/skins/base/images/tft17_samira_splash_centered_10.tft_set17.tex,4288,4.44,50.07,15.65,12.07,200.98,B
Maokai,마오카이,https://raw.communitydragon.org/latest/assets/characters/tft17_maokai/skins/base/images/tft17_maokai_splash_centered_33.tft_set17.tex,10878,4.57,49.17,10.42,30.61,200.58,B
